participant_id,segment_index,source_name,source_type,source_date,source_section,text,codes,rationale
001S,1,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|rag,"I think that there's a large stigma or still around HIV, and so for me, I definitely was not educated prior to having those trainings, so it really helped sort of bring me current to today's language, today's words, non stigmatizing vocabulary.","stigma,mental_health","Kept as both stigma and mental health are relevant to the discussion of HIV education and the need for non-stigmatizing language, supported by the RAG context emphasizing stigma in healthcare settings."
001S,2,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|rag,"I work with incarcerated individuals. I'm also a CASAC. I have been with the sheriff's office since December of 2021, and my primary role is to assist individuals with getting them an alternative to incarceration.",healthcare_access,"Kept as the focus on assisting incarcerated individuals aligns with barriers to healthcare access, particularly in the context of HIV care as noted in the RAG context."
001S,3,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|rag,"they felt that would be a good fit for TechMpower, for the results that they were looking to get out of the study.",,"Kept as the text does not indicate any specific barriers or factors related to HIV care engagement, consistent with the initial assessment."
001S,4,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|rag,"our team is very ..we know how to have conversations, because not not the square peg doesn't always fit in the round hole.",,Kept as the statement remains vague and does not directly address any of the allowed codebook factors.
001S,5,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|rag,we like to de-stigmatize things.,stigma,"Kept as the explicit mention of de-stigmatizing directly addresses stigma related to HIV, supported by the RAG context highlighting stigma in healthcare."
001S,6,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|rag,success looks like giving somebody an opportunity to try to get into a program and to try to get a new chance at getting the help that they deserve.,healthcare_access,"kept because the segment discusses providing opportunities for individuals to access programs and help, aligning with the healthcare access code."
001S,7,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|rag,there's a lot of stigma that comes along with that stigma that comes along with harm reduction.,stigma,"kept as the segment explicitly mentions stigma related to harm reduction, which is directly aligned with the stigma code."
001S,8,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|rag,"Harm Reduction kind of runs parallel with HIV, with, you know, sexually transmitted diseases and things like that.",social_support,"refined to social_support as the mention of harm reduction in relation to HIV suggests a connection to social support systems in addressing health issues, consistent with the study's focus."
001S,9,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|rag,"I think that there's been, it's been a learning curve, I think for everybody.",,kept as is because the segment reflects on a general learning experience without specific reference to the allowed codes.
001S,10,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|rag,"I think there's a lack of interest, to be honest with you.",,"kept as is because the segment expresses a personal opinion about lack of interest, which does not align with the allowed codes."
