participant_id,segment_index,source_name,source_type,source_date,source_section,text,codes,rationale
001S,1,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|no_rag,"I think that there's a large stigma or still around HIV, and so for me, I definitely was not educated prior to having those trainings, so it really helped sort of bring me current to today's language, today's words, non stigmatizing vocabulary.","stigma,mental_health",The mention of stigma around HIV and the need for education indicates both stigma and mental health aspects related to HIV care engagement.
001S,2,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|no_rag,"I work with incarcerated individuals. I'm also a CASAC. I have been with the sheriff's office since December of 2021, and my primary role is to assist individuals with getting them an alternative to incarceration.",healthcare_access,"The focus on assisting incarcerated individuals suggests a barrier to healthcare access, particularly in the context of HIV care."
001S,3,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|no_rag,"they felt that would be a good fit for TechMpower, for the results that they were looking to get out of the study.",,This segment does not provide information related to the allowed codes.
001S,4,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|no_rag,"our team is very ..we know how to have conversations, because not not the square peg doesn't always fit in the round hole.",,This segment does not provide information related to the allowed codes.
001S,5,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_1|no_rag,we like to de-stigmatize things.,stigma,The explicit mention of de-stigmatizing indicates a focus on addressing stigma related to HIV.
001S,6,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|no_rag,success looks like giving somebody an opportunity to try to get into a program and to try to get a new chance at getting the help that they deserve.,,The segment discusses opportunities and help but does not specifically address barriers or factors related to the allowed codes.
001S,7,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|no_rag,there's a lot of stigma that comes along with that stigma that comes along with harm reduction.,stigma,The segment explicitly mentions stigma associated with harm reduction.
001S,8,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|no_rag,"Harm Reduction kind of runs parallel with HIV, with, you know, sexually transmitted diseases and things like that.",,The segment discusses harm reduction in relation to HIV but does not address specific barriers or factors from the codebook.
001S,9,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|no_rag,"I think that there's been, it's been a learning curve, I think for everybody.",,The segment reflects on a learning experience but does not mention any specific barriers or factors from the codebook.
001S,10,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_2|no_rag,"I think there's a lack of interest, to be honest with you.",,The segment mentions a lack of interest but does not specify barriers or factors from the codebook.
001S,11,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_3|no_rag,"I think there's a lack of interest, to be honest with you. I think that in this day and age, people are very busy.",stigma,The mention of a 'lack of interest' suggests a social stigma around engagement.
001S,12,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_3|no_rag,"I think bringing awareness to the end result, like what is the goal of these things, and just kind of talking about that ahead of time could be helpful.",social_support,The focus on awareness and communication indicates the importance of social support in understanding goals.
001S,13,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_3|no_rag,"I think we're getting there, yeah, yeah. We're putting in some work.",,This statement is vague and does not clearly indicate any specific barriers or supports.
001S,14,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_3|no_rag,"I think the educational piece has been helpful for me, even just to have conversations with my colleagues.",healthcare_access,The mention of education suggests an improvement in access to healthcare information.
001S,15,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_3|no_rag,"I feel like it's being talked about more now, and I will contribute that to tech and power coming in.",social_support,The increase in discussion indicates a growing social support network around the issue.
001S,16,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_4|no_rag,"I think every individual, I think it's there, they should have the right to be tested if that's something that they want.",,The statement emphasizes individual rights regarding testing but does not address barriers or support related to HIV care engagement.
001S,17,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_4|no_rag,"I think it's important. I think, again, it's an educational piece.",healthcare_access,"The emphasis on education suggests a need for better access to information, which is a component of healthcare access."
001S,18,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_4|no_rag,"I think it's important. I think, again, it's an educational piece. I think people don't know what they don't know.",healthcare_access,The mention of education highlights a gap in knowledge that affects access to healthcare services.
001S,19,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_4|no_rag,I think having that educational piece is just one more thing that can be helpful to for prevention as well too.,healthcare_access,The focus on education as a preventive measure indicates its role in improving access to HIV care.
001S,20,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_4|no_rag,"the stigma says, Well, you've been clean for so long. Are you drug seeking?",stigma,This statement directly addresses stigma related to drug use and its impact on perceptions of individuals in HIV care.
001S,21,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_5|no_rag,the staff needs to be educated more on why and how that could be helpful.,healthcare_access,"The statement emphasizes the need for staff education, which relates to improving access to healthcare services."
001S,22,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_5|no_rag,"having a MAT medication program for somebody in that case, I think the staff needs to be educated more on why and how that could be helpful.",healthcare_access,The mention of a MAT medication program indicates a focus on healthcare access and the need for staff education to facilitate this.
